datetime,open,high,low,close,volume,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,   MA.MA5   ,   MA.MA6   ,   MA.MA7   ,   MA.MA8   ,VOL-TDX.VVOL  ,VOL-TDX.      ,VOL-TDX.VOLUME,VOL-TDX.MAVOL1,VOL-TDX.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 2020/10/27-09:31,3.349,3.351,3.345,3.349,7482500,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,74825,           ,           ,0,0,0
 2020/10/27-09:32,3.349,3.349,3.347,3.347,2453900,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,24539,           ,           ,0,0,0
 2020/10/27-09:33,3.347,3.348,3.342,3.342,3116500,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,31165,           ,           ,-0.001,0,-0.001
 2020/10/27-09:34,3.342,3.344,3.34,3.342,3284900,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,32849,           ,           ,-0.001,0,-0.001
 2020/10/27-09:35,3.342,3.342,3.34,3.34,3543900,3.344,           ,           ,           ,           ,           ,           ,           ,           ,0,35439,39763.398,           ,-0.002,-0.001,-0.002
 2020/10/27-09:36,3.341,3.341,3.339,3.341,3948900,3.342,           ,           ,           ,           ,           ,           ,           ,           ,0,39489,32696.199,           ,-0.002,-0.001,-0.002
 2020/10/27-09:37,3.343,3.344,3.338,3.34,3763200,3.341,           ,           ,           ,           ,           ,           ,           ,           ,0,37632,35314.801,           ,-0.002,-0.001,-0.002
 2020/10/27-09:38,3.338,3.345,3.338,3.345,1371800,3.342,           ,           ,           ,           ,           ,           ,           ,           ,0,13718,31825.4,           ,-0.002,-0.001,-0.001
 2020/10/27-09:39,3.345,3.347,3.342,3.346,3723700,3.342,           ,           ,           ,           ,           ,           ,           ,           ,0,37237,32703,           ,-0.002,-0.001,-0.001
 2020/10/27-09:40,3.346,3.351,3.346,3.349,2265200,3.344,3.344,           ,           ,           ,           ,           ,           ,           ,0,22652,30145.6,34954.5,-0.001,-0.001,0
 2020/10/27-09:41,3.35,3.35,3.348,3.348,1837000,3.346,3.344,           ,           ,           ,           ,           ,           ,           ,0,18370,25921.801,29309,-0.001,-0.001,0.001
 2020/10/27-09:42,3.349,3.349,3.346,3.347,725500,3.347,3.344,           ,           ,           ,           ,           ,           ,           ,0,7255,19846.4,27580.6,-0.001,-0.001,0.001
 2020/10/27-09:43,3.346,3.347,3.344,3.347,1683100,3.347,3.345,           ,           ,           ,           ,           ,           ,           ,0,16831,20469,26147.199,-0.001,-0.001,0.001
 2020/10/27-09:44,3.347,3.348,3.347,3.348,313700,3.348,3.345,           ,           ,           ,           ,           ,           ,           ,0,3137,13649,23176,0,-0.001,0.001
 2020/10/27-09:45,3.347,3.353,3.347,3.351,2532200,3.348,3.346,           ,           ,           ,           ,           ,           ,           ,0,25322,14183,22164.301,0,-0.001,0.001
 2020/10/27-09:46,3.351,3.351,3.347,3.348,832200,3.348,3.347,           ,           ,           ,           ,           ,           ,           ,0,8322,12173.4,19047.6,0,-0.001,0.001
 2020/10/27-09:47,3.348,3.351,3.346,3.351,1694200,3.349,3.348,           ,           ,           ,           ,           ,           ,           ,0,16942,14110.8,16978.6,0,0,0.001
 2020/10/27-09:48,3.35,3.353,3.35,3.353,1280700,3.35,3.349,           ,           ,           ,           ,           ,           ,           ,0,12807,13306,16887.5,0.001,0,0.002
 2020/10/27-09:49,3.353,3.353,3.351,3.351,1531700,3.351,3.349,           ,           ,           ,           ,           ,           ,           ,0,15317,15742,14695.5,0.001,0,0.002
 2020/10/27-09:50,3.351,3.352,3.349,3.35,1095700,3.351,3.349,3.347,           ,           ,           ,           ,           ,           ,0,10957,12869,13526,0.001,0,0.001
 2020/10/27-09:51,3.35,3.352,3.35,3.35,1409900,3.351,3.35,3.347,           ,           ,           ,           ,           ,           ,0,14099,14024.4,13098.9,0.001,0,0.001
 2020/10/27-09:52,3.351,3.353,3.348,3.352,3997900,3.351,3.35,3.347,           ,           ,           ,           ,           ,           ,0,39979,18631.801,16371.3,0.001,0.001,0.001
 2020/10/27-09:53,3.351,3.351,3.349,3.35,3341200,3.351,3.35,3.347,           ,           ,           ,           ,           ,           ,0,33412,22752.801,18029.4,0.001,0.001,0.001
 2020/10/27-09:54,3.349,3.35,3.349,3.35,3023000,3.35,3.351,3.348,           ,           ,           ,           ,           ,           ,0,30230,25735.4,20738.699,0.001,0.001,0.001
 2020/10/27-09:55,3.35,3.353,3.35,3.352,2079000,3.351,3.351,3.348,           ,           ,           ,           ,           ,           ,0,20790,27702,20285.5,0.001,0.001,0.001
 2020/10/27-09:56,3.353,3.354,3.35,3.351,4105800,3.351,3.351,3.349,           ,           ,           ,           ,           ,           ,0,41058,33093.801,23559.1,0.001,0.001,0
 2020/10/27-09:57,3.352,3.352,3.35,3.35,1048000,3.351,3.351,3.349,           ,           ,           ,           ,           ,           ,0,10480,27194,22912.9,0.001,0.001,0
 2020/10/27-09:58,3.35,3.35,3.349,3.349,382800,3.35,3.351,3.35,           ,           ,           ,           ,           ,           ,0,3828,21277.199,22015,0.001,0.001,0
 2020/10/27-09:59,3.349,3.351,3.348,3.349,1130000,3.35,3.35,3.35,           ,           ,           ,           ,           ,           ,0,11300,17491.199,21613.301,0.001,0.001,0
 2020/10/27-10:00,3.349,3.349,3.345,3.346,1989500,3.349,3.35,3.35,           ,           ,           ,           ,           ,           ,0,19895,17312.199,22507.1,0,0.001,-0.001
 2020/10/27-10:01,3.345,3.346,3.345,3.346,580400,3.348,3.349,3.35,           ,           ,           ,           ,           ,           ,0,5804,10261.4,21677.6,0,0.001,-0.001
 2020/10/27-10:02,3.347,3.348,3.345,3.348,790500,3.348,3.349,3.35,           ,           ,           ,           ,           ,           ,0,7905,9746.4,18470.199,0,0,-0.001
